"","Location","Family","reared_wild","TreatmentTank","CG_temp","Resp_temp","Run","Tank","Probe","DO_channel","back_slope","slope1","slope2","slope3","Vr_ml","Va_ml","length_mm","Ma_g","num_per_resp","Comments","mean_slope","DO_Slope_mg_L_min","VO2"
"18","Kuparuk","K12","reared","T1",8,16,7,1,1,1,-0.003251,-0.01185,-0.008368,-0.006946,201.8,0.178,NA,0.178,4,NA,-0.00905466666666667,-0.00580366666666667,0.394431532808989
"19","Kuparuk","K2","reared","T1",8,16,8,3,7,1,-0.001789,-0.01475,-0.01122,-0.01137,204,0.183,NA,0.183,1,NA,-0.0124466666666667,-0.0106576666666667,0.712201195737705
"20","Kuparuk","K9","reared","T2",12,8,2,4,11,2,-0.0007579,-0.01121,-0.01133,-0.008949,203.4,0.169,31.24,0.169,1,NA,-0.0104963333333333,-0.00973843333333333,0.702657353171597
"21","Kuparuk","K5","reared","T2",12,8,8,4,11,2,-0.003105,-0.009604,-0.009912,-0.009282,203.4,0.183,NA,0.183,1,NA,-0.00959933333333333,-0.00649433333333333,0.432707848196721
"22","Kuparuk","K8","reared","T2",12,8,8,2,4,1,-0.003747,-0.0117,-0.009663,-0.009927,200,0.189,NA,0.189,1,NA,-0.01043,-0.006683,0.42391648031746
"23","Kuparuk","K5","reared","T2",12,8,7,4,12,3,-0.001201,-0.01399,-0.006651,-0.005146,204.2,0.192,NA,0.192,1,NA,-0.00859566666666667,-0.00739466666666667,0.471428486666667
"24","Kuparuk","K9","reared","T2",12,8,6,3,8,2,-0.00352,-0.01022,-0.00984,-0.008447,204.2,0.197,NA,0.197,1,NA,-0.00950233333333333,-0.00598233333333333,0.37169967928934
"25","Kuparuk","K15","reared","T2",12,8,6,3,7,1,-0.001595,-0.006539,-0.007363,-0.00782,204,0.201,NA,0.201,1,NA,-0.00724066666666667,-0.00564566666666667,0.343457080895522
"26","Kuparuk","K8","reared","T2",12,8,7,2,4,1,-0.002836,-0.008923,-0.006537,-0.006606,200,0.209,NA,0.209,1,NA,-0.00735533333333333,-0.00451933333333333,0.259212093588517
"27","Kuparuk","K3","reared","T2",12,12,3,2,6,2,-0.004744,-0.01242,-0.01247,-0.002553,203.6,0.165,32.36,0.165,1,NA,-0.00914766666666667,-0.00440366666666667,0.325767246666667
"28","Kuparuk","K1","reared","T2",12,12,1,3,7,1,-0.001647,-0.009843,-0.009512,-0.01024,204,0.2,32.2,0.2,1,NA,-0.009865,-0.008218,0.50244852
"29","Kuparuk","K5","reared","T2",12,12,1,2,6,2,-0.0007453,-0.008241,-0.009181,-0.009857,203.6,0.21,34.44,0.21,1,NA,-0.009093,-0.0083477,0.485096772285714
"30","Kuparuk","K11","reared","T2",12,12,3,3,8,2,-0.00795,-0.004891,-0.01164,-0.01503,204.2,0.26,34.73,0.26,1,NA,-0.0105203333333333,-0.00257033333333333,0.120967795384615
"31","Kuparuk","K7","reared","T2",12,12,3,3,9,3,-0.008606,-0.003543,-0.01377,-0.01907,202.8,0.335,33.97,0.335,1,NA,-0.0121276666666667,-0.00352166666666667,0.127704043283582
"32","Kuparuk","K13","reared","T2",12,16,2,1,3,3,-0.00428,-0.005034,-0.004302,-0.003787,199.2,0.03,18.3,0.03,1,NA,-0.00437433333333333,-9.43333333333334e-05,0.03757674
"33","Kuparuk","K12","reared","T2",12,16,2,1,2,2,-0.004281,-0.009733,-0.008312,-0.005538,201.6,0.184,30.28,0.184,1,NA,-0.007861,-0.00358,0.235131286956522
"34","Kuparuk","K11","reared","T2",12,16,2,1,1,1,-0.005161,-0.01668,-0.01297,-0.01653,201.8,0.288,34.56,0.288,1,NA,-0.0153933333333333,-0.0102323333333333,0.429570407222222
"35","Kuparuk","K5","reared","T3",16,8,5,4,12,3,-0.003838,-0.01692,-0.00965,-0.007157,204.2,0.312,NA,0.312,1,NA,-0.0112423333333333,-0.00740433333333334,0.290318214358974
"36","Kuparuk","K5","reared","T3",16,8,4,4,12,3,-0.0004336,-0.01403,-0.01169,-0.02151,204.2,0.316,NA,0.316,1,NA,-0.0157433333333333,-0.0153097333333333,0.592672722329114
