"","location","alt.dpf","Treatment","family","indiv.1to15","adj_Length"
"3825","Sag",35,"T1","O2",5,"14.396"
"3826","Sag",35,"T1","O2",6,"13.54"
"3827","Sag",35,"T1","O2",7,"12.735"
"3828","Sag",35,"T1","O2",8,"13.867"
"3829","Sag",35,"T1","O2",9,"13.308"
"3830","Sag",35,"T1","O2",10,"13.263"
"3831","Sag",39,"T1","O2",1,"14.14"
"3832","Sag",39,"T1","O2",2,"13.815"
"3833","Sag",39,"T1","O2",3,"13.873"
"3834","Sag",39,"T1","O2",4,"14.893"
"3835","Sag",39,"T1","O2",5,"15.483"
"3836","Sag",39,"T1","O2",6,"15.536"
"3837","Sag",39,"T1","O2",7,"13.93"
"3838","Sag",39,"T1","O2",8,"14.589"
"3839","Sag",39,"T1","O2",9,"14.551"
"3888","Sag",25,"T1","O4",1,"9.891"
"3889","Sag",25,"T1","O4",2,"11.351"
"3890","Sag",25,"T1","O4",3,"9.76"
"3891","Sag",25,"T1","O4",4,"9.92"
"3892","Sag",30,"T1","O4",1,"13.0782"
"3893","Sag",30,"T1","O4",2,"13.1606"
"3894","Sag",30,"T1","O4",3,"13.1102"
"3895","Sag",30,"T1","O4",4,"12.9847"
"3896","Sag",30,"T1","O4",5,"13.0492"
"3897","Sag",30,"T1","O4",6,"13.2242"
"3898","Sag",30,"T1","O4",7,"12.8805"
"3899","Sag",30,"T1","O4",8,"13.8521"
"3900","Sag",30,"T1","O4",9,"13.634"
