Location,Family,reared_wild,TreatmentTank,CG.temp,Resp.temp,Run,Tank,Probe,DO_channel,back.slope,slope1,slope2,slope3,Vr.ml,Va.ml,length.mm,Ma.g,num_per_resp,Comments,,
Sagavanirktok,WO2,wild,T2,12,12,11,1,3,3,-0.002405,-0.03162,-0.02009,-0.01809,199,0.388,,0.388,1,,,
Sagavanirktok,WO4,wild,T2,12,12,11,2,4,1,-0.004891,-0.01354,-0.01304,-0.009881,200,0.243,,0.243,1,,,
Kuparuk,WK2,wild,T2,12,12,11,2,5,2,-0.003511,-0.01402,-0.01212,-0.00866,204,0.305,,0.305,1,,,
Sagavanirktok,WO3,wild,T2,12,12,11,2,6,3,-0.004954,-0.01376,-0.01319,-0.01403,204,0.281,,0.281,1,,,
Kuparuk,WK4,wild,T2,12,12,11,3,7,1,-0.003526,-0.01803,-0.015,-0.01656,204,0.401,,0.401,1,,,
Sagavanirktok,WO5,wild,T2,12,12,11,3,8,2,-0.005562,-0.01865,-0.01725,-0.01915,204,0.4,,0.4,1,,,
Sagavanirktok,WO4,wild,T2,12,12,11,3,9,3,0.002088,-0.0183,-0.01706,-0.01501,203,0.374,,0.374,1,,,
Kuparuk,K2 ,reared,T1,8,8,11,4,10,1,-0.0005952,-0.02035,0.01759,-0.01301,202,0.255,,0.255,4,,,
Sagavanirktok,O1 ,reared,T1,8,8,11,4,11,2,-0.0006163,-0.01179,-0.0099,-0.009187,203,0.156,,0.156,4,,,
Kuparuk,K1 ,reared,T1,8,8,11,4,12,3,-0.001359,-0.01566,-0.01398,-0.01253,204,0.246,,0.246,4,,,
Oksrukuyik,WOZ2,wild,T3,16,16,12,1,1,1,-0.003951,-0.01912,-0.02301,-0.02265,202,0.821,,0.821,1,,,
Oksrukuyik,WOZ4,wild,T3,16,16,12,1,2,2,-0.004505,-0.01966,-0.02373,-0.01826,202,0.443,,0.443,1,,,
Oksrukuyik,WOZ3,wild,T3,16,16,12,1,3,3,-0.005711,-0.03895,-0.03427,-0.027,199,0.453,,0.453,1,,,
Oksrukuyik,WOZ3,wild,T2,12,12,12,2,4,1,-0.00616,-0.02575,-0.02098,-0.01878,200,0.643,,0.643,1,,,
Oksrukuyik,WOZ4,wild,T2,12,12,12,2,5,2,-0.004316,-0.02213,-0.01973,-0.01543,204,0.508,,0.508,1,,,
Oksrukuyik,WOZ1,wild,T2,12,12,12,2,6,3,-0.007629,-0.0249,-0.02555,-0.01982,204,0.583,,0.583,1,,,
Kuparuk,WK2-2,wild,T2,12,12,12,3,7,1,-0.002017,-0.01941,-0.0191,-0.01754,204,0.325,,0.325,1,,,
Kuparuk,WK2-3,wild,T2,12,12,12,3,8,2,-0.003204,-0.01042,-0.007915,-0.008972,204,0.211,,0.211,1,,,
Kuparuk,WK2-1,wild,T2,12,12,12,3,9,3,-0.004852,-0.01994,-0.01905,-0.01742,203,0.404,,0.404,1,,,
Oksrukuyik,WOZ4,wild,T1,8,8,12,4,10,1,-0.001072,-0.01535,-0.01347,-0.0136,202,0.338,,0.338,1,,,
Oksrukuyik,WOZ3,wild,T1,8,8,12,4,11,2,-0.007477,-0.02605,-0.01275,-0.01471,203,0.428,,0.428,1,,,
Oksrukuyik,WOZ2,wild,T1,8,8,12,4,12,3,-0.004414,-0.01614,-0.01461,-0.01268,204,0.328,,0.328,1,,,
Oksrukuyik,WOZ3,wild,T3,16,16,13,1,1,1,-0.008364,-0.02731,-0.0173,-0.02204,202,0.455,,0.455,1,,,
Oksrukuyik,WOZ4,wild,T3,16,16,13,1,2,2,-0.003422,-0.02877,-0.009596,-0.022,202,0.339,,0.339,1,,,
Oksrukuyik,WOZ4,wild,T3,16,16,13,1,3,3,-0.0056055,-0.01197,-0.07147,-0.02267,199,0.452,,0.452,1,,,
Oksrukuyik,WOZ3,wild,T2,12,12,13,2,4,1,-0.005616,-0.02548,-0.02796,-0.02506,200,0.581,,0.581,1,,,
Oksrukuyik,WOZ3,wild,T2,12,12,13,2,5,2,-0.004822,-0.02394,-0.01932,-0.02167,204,0.568,,0.568,1,,,
Oksrukuyik,WOZ1,wild,T2,12,12,13,2,6,3,-0.006171,-0.03564,-0.02657,-0.02816,204,0.7,,0.7,1,,,
Oksrukuyik,WOZ3,wild,T2,12,12,13,3,7,1,-0.003487,-0.0202,-0.01644,-0.02316,204,0.467,,0.467,1,,,
Oksrukuyik,WOZ4,wild,T2,12,12,13,3,8,2,-0.00323,-0.02572,-0.02365,-0.01733,204,0.521,,0.521,1,,,
Oksrukuyik,WOZ3,wild,T2,12,12,13,3,9,3,-0.005307,-0.02884,-0.02418,-0.02274,203,0.524,,0.524,1,,,
Oksrukuyik,WOZ1,wild,T1,8,8,13,4,10,1,-0.006113,-0.01666,-0.01482,-0.01595,202,0.367,,0.367,1,,,
Oksrukuyik,WOZ5,wild,T1,8,8,13,4,11,2,-0.009542,-0.01643,-0.01658,-0.01594,203,0.414,,0.414,1,,,
